beer_name,brewery_name,beer_type,beer_abv,beer_ibu,comment,venue_name,venue_city,venue_state,venue_country,venue_lat,venue_lng,rating_score,created_at,checkin_url,beer_url,brewery_url,brewery_country,brewery_city,brewery_state,flavor_profiles,purchase_venue,serving_type,checkin_id,bid,brewery_id,photo_url,global_rating_score,global_weighted_rating_score,tagged_friends,total_toasts,total_comments
Victor,"Allagash Brewing Company","Belgian Strong Golden Ale",7.1,0,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,,"2011-04-09 14:16:46",https://untappd.com/c/620983,https://untappd.com/beer/8760,https://untappd.com/brewery/24,"United States",Portland,ME,,,,620983,8760,24,,3.81,3.81,,0,0
"Dunkelweiss (Lips of Faith)","New Belgium Brewing Company",Dunkelweizen,9,21,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,5,"2011-04-09 14:28:29",https://untappd.com/c/621073,https://untappd.com/beer/27903,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,,621073,27903,905,,3.76,3.73,,0,0
"Le Terroir","New Belgium Brewing Company","Sour - Other",7.5,12,,,,,,,,5,"2011-04-09 14:44:09",https://untappd.com/c/621228,https://untappd.com/beer/30888,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,,621228,30888,905,,4.03,4.03,,0,0
"20th Anniversary Ale","Breckenridge Brewery","Extra Special / Strong Bitter",7.8,55,,,,,,,,4,"2011-04-09 14:55:18",https://untappd.com/c/621332,https://untappd.com/beer/82189,https://untappd.com/brewery/236,"United States",Littleton,CO,,,,621332,82189,236,,3.88,3.72,,0,0
"Highlander (Mysterium Verum)","Real Ale Brewing Company","Scotch Ale / Wee Heavy",9.7,0,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,5,"2011-04-09 15:05:57",https://untappd.com/c/621412,https://untappd.com/beer/31852,https://untappd.com/brewery/1044,"United States",Blanco,TX,,,,621412,31852,1044,,4.04,4.01,,0,0
"Green Flash/Pizza Port Carlsbad/Stone Highway 78 Scotch Ale","Stone Brewing","Scotch Ale / Wee Heavy",8.8,0,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,3,"2011-04-09 15:29:16",https://untappd.com/c/621623,https://untappd.com/beer/15130,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,,621623,15130,1204,,3.88,3.86,,0,0
"2011 Stone Old Guardian BELGO Barley Wine","Stone Brewing","Barleywine - American",12,0,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,4,"2011-04-09 15:56:18",https://untappd.com/c/621900,https://untappd.com/beer/26792,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,,621900,26792,1204,,3.92,3.9,,0,0
"(512) ONE (Brandy Barrel Aged)","(512) Brewing Company","Belgian Strong Dark Ale",8,0,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,5,"2011-04-09 16:08:24",https://untappd.com/c/622021,https://untappd.com/beer/13232,https://untappd.com/brewery/1,"United States",Austin,TX,,,,622021,13232,1,,4.09,3.81,,0,0
"Bourbon Barrel Aged Winter Warmer","Rahr & Sons Brewing Company","Winter Warmer",11,44,,,,,,,,4,"2011-04-09 16:35:16",https://untappd.com/c/622315,https://untappd.com/beer/5034,https://untappd.com/brewery/1038,"United States","Fort Worth",TX,,,,622315,5034,1038,,4.01,4.01,,0,0
"(512) Whiskey Barrel Aged Double Pecan Porter","(512) Brewing Company","Porter - Imperial / Double",9.5,30,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,5,"2011-04-09 16:49:13",https://untappd.com/c/622476,https://untappd.com/beer/5741,https://untappd.com/brewery/1,"United States",Austin,TX,,,,622476,5741,1,,4.2,4.18,,0,0
Bohemia,"Cervecería Cuauhtémoc Moctezuma S.A. de C.V.","Pilsner - Czech",4.7,21,,,,,,,,,"2011-04-10 00:36:02",https://untappd.com/c/628792,https://untappd.com/beer/3551,https://untappd.com/brewery/360,Mexico,Monterrey,"Nuevo León",,,,628792,3551,360,,3.15,3.16,,0,0
"Circus Boy","Magic Hat Brewing Company",Hefeweizen,4.5,15,,,,,,,,4,"2011-04-10 20:46:38",https://untappd.com/c/634579,https://untappd.com/beer/4154,https://untappd.com/brewery/812,"United States","South Burlington",VT,,,,634579,4154,812,,3.38,3.38,,0,0
"Divine Reserve No. 11","Saint Arnold Brewing Company","IPA - Imperial / Double",8.9,76,,,,,,,,5,"2011-04-10 21:43:44",https://untappd.com/c/635072,https://untappd.com/beer/110037,https://untappd.com/brewery/2940,"United States",Houston,TX,,,,635072,110037,2940,,4.01,3.96,,0,0
"Divine Reserve No. 11","Saint Arnold Brewing Company","IPA - Imperial / Double",8.9,76,,,,,,,,5,"2011-04-11 19:33:10",https://untappd.com/c/638060,https://untappd.com/beer/110037,https://untappd.com/brewery/2940,"United States",Houston,TX,,,,638060,110037,2940,,4.01,3.96,,0,0
"Divine Reserve No. 11","Saint Arnold Brewing Company","IPA - Imperial / Double",8.9,76,,,,,,,,5,"2011-04-11 20:42:56",https://untappd.com/c/638751,https://untappd.com/beer/110037,https://untappd.com/brewery/2940,"United States",Houston,TX,,,,638751,110037,2940,,4.01,3.96,,0,0
"Divine Reserve No. 11","Saint Arnold Brewing Company","IPA - Imperial / Double",8.9,76,,,,,,,,5,"2011-04-12 20:03:58",https://untappd.com/c/642915,https://untappd.com/beer/110037,https://untappd.com/brewery/2940,"United States",Houston,TX,,,,642915,110037,2940,,4.01,3.96,,0,0
"Divine Reserve No. 11","Saint Arnold Brewing Company","IPA - Imperial / Double",8.9,76,,,,,,,,5,"2011-04-13 20:40:18",https://untappd.com/c/648923,https://untappd.com/beer/110037,https://untappd.com/brewery/2940,"United States",Houston,TX,,,,648923,110037,2940,,4.01,3.96,,0,0
"Divine Reserve No. 11","Saint Arnold Brewing Company","IPA - Imperial / Double",8.9,76,,,,,,,,5,"2011-04-13 21:26:05",https://untappd.com/c/649488,https://untappd.com/beer/110037,https://untappd.com/brewery/2940,"United States",Houston,TX,,,,649488,110037,2940,,4.01,3.96,,0,0
"Circus Boy","Magic Hat Brewing Company",Hefeweizen,4.5,15,,,,,,,,4,"2011-04-13 22:05:46",https://untappd.com/c/649898,https://untappd.com/beer/4154,https://untappd.com/brewery/812,"United States","South Burlington",VT,,,,649898,4154,812,,3.38,3.38,,0,0
"Stone Smoked Porter","Stone Brewing","Smoked Beer",5.9,53,,,,,,,,,"2011-04-16 15:54:45",https://untappd.com/c/670789,https://untappd.com/beer/1257,https://untappd.com/brewery/1204,"United States",Escondido,CA,,,,670789,1257,1204,,3.69,3.69,,0,0
"Le Terroir","New Belgium Brewing Company","Sour - Other",7.5,12,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,5,"2011-04-16 16:32:45",https://untappd.com/c/671258,https://untappd.com/beer/30888,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,,671258,30888,905,,4.03,4.03,,0,0
"Dunkelweiss (Lips of Faith)","New Belgium Brewing Company",Dunkelweizen,9,21,,,,,,,,5,"2011-04-16 17:41:40",https://untappd.com/c/672225,https://untappd.com/beer/27903,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,,672225,27903,905,,3.76,3.73,,0,0
"Shiner Ruby Redbird","Spoetzl Brewery","Fruit Beer",4,13,,,,,,,,3,"2011-04-17 16:57:36",https://untappd.com/c/681770,https://untappd.com/beer/41501,https://untappd.com/brewery/1179,"United States",Shiner,TX,,,,681770,41501,1179,,3.31,3.31,,0,0
"Coconut Hiwa Porter","Maui Brewing Company","Porter - American",6,30,,,,,,,,4,"2011-04-17 17:08:51",https://untappd.com/c/681890,https://untappd.com/beer/5383,https://untappd.com/brewery/836,"United States",Kihei,HI,,,,681890,5383,836,,3.75,3.75,,0,0
"Big Swell IPA","Maui Brewing Company","IPA - American",6.8,70,,,,,,,,2,"2011-04-17 20:46:29",https://untappd.com/c/684361,https://untappd.com/beer/5382,https://untappd.com/brewery/836,"United States",Kihei,HI,,,,684361,5382,836,,3.68,3.68,,0,0
"Circus Boy","Magic Hat Brewing Company",Hefeweizen,4.5,15,,,,,,,,4,"2011-04-20 19:08:10",https://untappd.com/c/698020,https://untappd.com/beer/4154,https://untappd.com/brewery/812,"United States","South Burlington",VT,,,,698020,4154,812,,3.38,3.38,,0,0
"Snowmageddon (2013)","Rahr & Sons Brewing Company","Stout - Imperial / Double Oatmeal",8.5,55,,,,,,,,5,"2011-04-20 20:12:56",https://untappd.com/c/698889,https://untappd.com/beer/302840,https://untappd.com/brewery/1038,"United States","Fort Worth",TX,,,,698889,302840,1038,,3.89,3.88,,0,0
Odyssey,"Allagash Brewing Company","Belgian Strong Dark Ale",8.3,0,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,4,"2011-04-22 15:56:27",https://untappd.com/c/710018,https://untappd.com/beer/8415,https://untappd.com/brewery/24,"United States",Portland,ME,,,,710018,8415,24,,3.91,3.9,,0,0
"Milk Stout","Left Hand Brewing Company","Stout - Milk / Sweet",6,25,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,4,"2011-04-22 17:01:08",https://untappd.com/c/710619,https://untappd.com/beer/1507,https://untappd.com/brewery/779,"United States",Longmont,CO,,,,710619,1507,779,,3.89,3.89,,0,0
"Palo Santo Marron","Dogfish Head Craft Brewery","Brown Ale - Imperial / Double",12,50,,,,,,,,4,"2011-04-22 17:41:54",https://untappd.com/c/711075,https://untappd.com/beer/4487,https://untappd.com/brewery/459,"United States",Milton,DE,,,,711075,4487,459,,3.97,3.97,,0,0
"Circus Boy","Magic Hat Brewing Company",Hefeweizen,4.5,15,,,,,,,,4,"2011-04-22 19:23:47",https://untappd.com/c/712594,https://untappd.com/beer/4154,https://untappd.com/brewery/812,"United States","South Burlington",VT,,,,712594,4154,812,,3.38,3.38,,0,0
"Ayinger Urweisse","Ayinger Privatbrauerei",Dunkelweizen,5.8,13,,,,,,,,4,"2011-04-23 20:13:07",https://untappd.com/c/723700,https://untappd.com/beer/24679,https://untappd.com/brewery/10915,Germany,Aying,Bayern,,,,723700,24679,10915,,3.75,3.75,,0,0
"Weihenstephaner Hefeweissbier Dunkel","Bayerische Staatsbrauerei Weihenstephan",Dunkelweizen,5.3,14,,,,,,,,3,"2011-04-23 20:26:01",https://untappd.com/c/723930,https://untappd.com/beer/6273,https://untappd.com/brewery/88,Germany,Freising,Bayern,,,,723930,6273,88,,3.79,3.78,,0,0
"Samuel Adams Noble Pils","Boston Beer Company","Pilsner - Czech",4.9,34,,,,,,,,4,"2011-04-23 20:51:53",https://untappd.com/c/724374,https://untappd.com/beer/5743,https://untappd.com/brewery/157,"United States",Boston,MA,,,,724374,5743,157,,3.35,3.35,,0,0
"Weihenstephaner Hefeweissbier Dunkel","Bayerische Staatsbrauerei Weihenstephan",Dunkelweizen,5.3,14,,,,,,,,3,"2011-04-23 22:17:06",https://untappd.com/c/725709,https://untappd.com/beer/6273,https://untappd.com/brewery/88,Germany,Freising,Bayern,,,,725709,6273,88,,3.79,3.78,,0,0
"Samuel Adams Revolutionary Rye®","Boston Beer Company","Rye Beer",5.5,0,,,,,,,,3,"2011-04-23 22:27:24",https://untappd.com/c/725849,https://untappd.com/beer/22374,https://untappd.com/brewery/157,"United States",Boston,MA,,,,725849,22374,157,,3.41,3.49,,0,0
"21st Anniversary Ale","Karl Strauss Brewing Company","Fruit Beer",10,0,,,,,,,,3,"2011-04-23 22:45:48",https://untappd.com/c/726075,https://untappd.com/beer/26081,https://untappd.com/brewery/1880,"United States","San Diego",CA,,,,726075,26081,1880,,3.6,3.65,,0,0
"Old Chub","Oskar Blues Brewery","Scotch Ale / Wee Heavy",8,30,,,,,,,,5,"2011-04-27 20:44:34",https://untappd.com/c/747960,https://untappd.com/beer/4743,https://untappd.com/brewery/956,"United States",Longmont,CO,,,,747960,4743,956,,3.74,3.74,,0,0
"Hop Head Red (-2013 Retired)","Green Flash Brewing Company","IPA - American",7,70,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,3,"2011-04-27 21:11:33",https://untappd.com/c/748262,https://untappd.com/beer/5011,https://untappd.com/brewery/609,"United States","San Diego",CA,,,,748262,5011,609,,3.73,3.73,,0,0
"Tripel Karmeliet","Brouwerij Bosteels","Belgian Tripel",8.4,16,,"Whole Foods Market",Dallas,TX,"United States",32.8716,-96.7658,5,"2011-04-30 19:20:50",https://untappd.com/c/771614,https://untappd.com/beer/6511,https://untappd.com/brewery/269,Belgium,Buggenhout,Vlaanderen,,,,771614,6511,269,,4.01,4.01,,0,0
"Chimay Cinq Cents (White)","Bières de Chimay","Belgian Tripel",8,38,,"Whole Foods Market",Dallas,TX,"United States",32.8716,-96.7658,3,"2011-04-30 19:30:52",https://untappd.com/c/771787,https://untappd.com/beer/10049,https://untappd.com/brewery/378,Belgium,Baileux,Wallonie,,,,771787,10049,378,,3.76,3.76,,0,0
"Samuel Adams Longshot Blackened Hops","Boston Beer Company","IPA - Black / Cascadian Dark Ale",7,0,,,,,,,,3,"2011-04-30 20:51:42",https://untappd.com/c/773197,https://untappd.com/beer/19443,https://untappd.com/brewery/157,"United States",Boston,MA,,,,773197,19443,157,,3.38,3.49,,0,0
"Hoegaarden Wit / Blanche","Brouwerij Hoegaarden","Wheat Beer - Witbier",4.9,15,,,,,,,,,"2011-05-01 16:36:05",https://untappd.com/c/779122,https://untappd.com/beer/6422,https://untappd.com/brewery/302,Belgium,Hoegaarden,Vlaanderen,,,,779122,6422,302,,3.57,3.57,,0,0
"Samuel Adams Longshot Honey B's Lavender Ale","Boston Beer Company","Spiced / Herbed Beer",5.5,0,,,,,,,,2,"2011-05-01 16:48:02",https://untappd.com/c/779241,https://untappd.com/beer/33913,https://untappd.com/brewery/157,"United States",Boston,MA,,,,779241,33913,157,,3.09,3.33,,0,0
"Samuel Adams Longshot Friar Hop Ale","Boston Beer Company","Belgian Strong Golden Ale",9,0,,,,,,,,5,"2011-05-01 20:09:07",https://untappd.com/c/781498,https://untappd.com/beer/28932,https://untappd.com/brewery/157,"United States",Boston,MA,,,,781498,28932,157,,3.25,3.42,,0,0
"Grand Cru","Great Divide Brewing Company","Belgian Strong Dark Ale",11,50,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,,"2011-05-05 18:33:48",https://untappd.com/c/803675,https://untappd.com/beer/22338,https://untappd.com/brewery/604,"United States",Denver,CO,,,,803675,22338,604,,3.76,3.74,,0,0
"Le Terroir","New Belgium Brewing Company","Sour - Other",7.5,12,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,5,"2011-05-05 19:01:06",https://untappd.com/c/804138,https://untappd.com/beer/30888,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,,804138,30888,905,,4.03,4.03,,0,0
"Shiner 102 Double Wheat","Spoetzl Brewery","Wheat Beer - American Pale Wheat",6.2,0,,,,,,,,3,"2011-05-06 20:12:02",https://untappd.com/c/814159,https://untappd.com/beer/25741,https://untappd.com/brewery/1179,"United States",Shiner,TX,,,,814159,25741,1179,,3.24,3.33,,0,0
"Fancy Lawnmower","Saint Arnold Brewing Company",Kölsch,4.9,20,,,,,,,,3,"2011-05-06 21:28:42",https://untappd.com/c/815426,https://untappd.com/beer/2425,https://untappd.com/brewery/2940,"United States",Houston,TX,,,,815426,2425,2940,,3.52,3.52,,0,0
"Shiner 102 Double Wheat","Spoetzl Brewery","Wheat Beer - American Pale Wheat",6.2,0,,,,,,,,3,"2011-05-06 23:31:08",https://untappd.com/c/816357,https://untappd.com/beer/25741,https://untappd.com/brewery/1179,"United States",Shiner,TX,,,,816357,25741,1179,,3.24,3.33,,0,0
"Shiner 102 Double Wheat","Spoetzl Brewery","Wheat Beer - American Pale Wheat",6.2,0,,,,,,,,3,"2011-05-07 18:43:25",https://untappd.com/c/822331,https://untappd.com/beer/25741,https://untappd.com/brewery/1179,"United States",Shiner,TX,,,,822331,25741,1179,,3.24,3.33,,0,0
"Hop Rod Rye™","Bear Republic Brewing Co.","Rye Beer",8,80,,,,,,,,3,"2011-05-08 17:42:41",https://untappd.com/c/830948,https://untappd.com/beer/1425,https://untappd.com/brewery/94,"United States","Rohnert Park",CA,,,,830948,1425,94,,3.77,3.77,,0,0
"Lost Gold IPA","Real Ale Brewing Company","IPA - American",6.6,62,,,,,,,,4,"2011-05-08 18:41:49",https://untappd.com/c/831520,https://untappd.com/beer/8554,https://untappd.com/brewery/1044,"United States",Blanco,TX,,,,831520,8554,1044,,3.61,3.61,,0,3
"Shiner 102 Double Wheat","Spoetzl Brewery","Wheat Beer - American Pale Wheat",6.2,0,,,,,,,,3,"2011-05-08 21:35:50",https://untappd.com/c/833271,https://untappd.com/beer/25741,https://untappd.com/brewery/1179,"United States",Shiner,TX,,,,833271,25741,1179,,3.24,3.33,,0,0
"Samuel Adams Longshot Blackened Hops","Boston Beer Company","IPA - Black / Cascadian Dark Ale",7,0,,,,,,,,3,"2011-05-08 22:52:02",https://untappd.com/c/833692,https://untappd.com/beer/19443,https://untappd.com/brewery/157,"United States",Boston,MA,,,,833692,19443,157,,3.38,3.49,,1,0
"Knotty Brunette","Franconia Brewing Company ","Red Ale - American Amber / Red",6,0,,"McCormick & Schmick's Dallas",Dallas,TX,,32.8668,-96.7737,,"2011-05-09 18:17:51",https://untappd.com/c/835900,https://untappd.com/beer/146887,https://untappd.com/brewery/7329,"United States",McKinney,TX,,,,835900,146887,7329,,3.45,3.5,,0,0
"Shiner 102 Double Wheat","Spoetzl Brewery","Wheat Beer - American Pale Wheat",6.2,0,,,,,,,,3,"2011-05-11 22:19:48",https://untappd.com/c/849502,https://untappd.com/beer/25741,https://untappd.com/brewery/1179,"United States",Shiner,TX,,,,849502,25741,1179,,3.24,3.33,,0,0
"Chimay Cinq Cents (White)","Bières de Chimay","Belgian Tripel",8,38,,,,,,,,3,"2011-05-12 17:30:52",https://untappd.com/c/852304,https://untappd.com/beer/10049,https://untappd.com/brewery/378,Belgium,Baileux,Wallonie,,,,852304,10049,378,,3.76,3.76,,0,0
"Le Terroir","New Belgium Brewing Company","Sour - Other",7.5,12,,,,,,,,5,"2011-05-12 18:04:46",https://untappd.com/c/852642,https://untappd.com/beer/30888,https://untappd.com/brewery/905,"United States","Fort Collins",CO,,,,852642,30888,905,,4.03,4.03,,0,0
"(512) Pecan Porter","(512) Brewing Company","Porter - American",6.2,30,,,,,,,,4.25,"2011-05-12 19:12:55",https://untappd.com/c/853575,https://untappd.com/beer/5738,https://untappd.com/brewery/1,"United States",Austin,TX,,,,853575,5738,1,,3.89,3.89,,0,0
"Rotator IPA: X-114 IPA","Widmer Brothers Brewing","IPA - American",6.2,0,,,,,,,,4,"2011-05-14 20:14:46",https://untappd.com/c/874219,https://untappd.com/beer/30044,https://untappd.com/brewery/3028,"United States",Portland,OR,,,,874219,30044,3028,,3.48,3.5,,0,1
"Ovila Dubbel","Sierra Nevada Brewing Co.","Belgian Dubbel",7.5,0,,,,,,,,5,"2011-05-14 21:48:32",https://untappd.com/c/875983,https://untappd.com/beer/11816,https://untappd.com/brewery/1142,"United States",Chico,CA,,,,875983,11816,1142,,3.76,3.76,,0,0
"Rotator IPA: X-114 IPA","Widmer Brothers Brewing","IPA - American",6.2,0,,,,,,,,4,"2011-05-15 19:32:01",https://untappd.com/c/882783,https://untappd.com/beer/30044,https://untappd.com/brewery/3028,"United States",Portland,OR,,,,882783,30044,3028,,3.48,3.5,,1,0
"The Hairy Eyeball","Lagunitas Brewing Company","Strong Ale - American",9.1,57,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,4,"2011-05-19 18:02:40",https://untappd.com/c/907689,https://untappd.com/beer/1351,https://untappd.com/brewery/765,"United States",Petaluma,CA,,,,907689,1351,765,,3.7,3.7,,0,0
"17th Anniversary Wood Aged Double IPA","Great Divide Brewing Company","IPA - Imperial / Double",10,0,,,,,,,,5,"2011-05-19 18:32:03",https://untappd.com/c/908097,https://untappd.com/beer/39369,https://untappd.com/brewery/604,"United States",Denver,CO,,,,908097,39369,604,,3.99,3.94,,0,0
"Spaten Optimator",Spaten-Franziskaner-Löwenbräu-Gruppe,"Bock - Doppelbock",7.6,60,,"Henk's European Deli & Black Forest Bakery",Dallas,TX,"United States",32.867,-96.765,5,"2011-05-20 19:04:51",https://untappd.com/c/917808,https://untappd.com/beer/5972,https://untappd.com/brewery/1176,Germany,Munich,Bayern,,,,917808,5972,1176,,3.7,3.7,,0,0
"Pecker Wrecker","Rahr & Sons Brewing Company","Pilsner - Imperial / Double",8,70,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,3,"2011-05-21 16:52:22",https://untappd.com/c/928785,https://untappd.com/beer/5035,https://untappd.com/brewery/1038,"United States","Fort Worth",TX,,,,928785,5035,1038,,3.6,3.61,,0,0
"Le Merle","North Coast Brewing Company","Farmhouse Ale - Saison",7.9,26,,,,,,,,4,"2011-05-21 17:24:05",https://untappd.com/c/929291,https://untappd.com/beer/9619,https://untappd.com/brewery/919,"United States","Fort Bragg",CA,,,,929291,9619,919,,3.75,3.75,,0,0
Heineken,Heineken,"Lager - Euro Pale",5,19,,,,,,,,,"2011-05-21 21:37:50",https://untappd.com/c/934087,https://untappd.com/beer/5860,https://untappd.com/brewery/1400,Netherlands,Zoeterwoude,Zuid-Holland,,,,934087,5860,1400,,2.93,2.93,,0,0
"Divine Reserve No. 11","Saint Arnold Brewing Company","IPA - Imperial / Double",8.9,76,,,,,,,,5,"2011-05-25 17:36:35",https://untappd.com/c/956512,https://untappd.com/beer/110037,https://untappd.com/brewery/2940,"United States",Houston,TX,,,,956512,110037,2940,,4.01,3.96,,0,0
"Divine Reserve No. 11","Saint Arnold Brewing Company","IPA - Imperial / Double",8.9,76,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,5,"2011-05-25 17:57:25",https://untappd.com/c/956719,https://untappd.com/beer/110037,https://untappd.com/brewery/2940,"United States",Houston,TX,,,,956719,110037,2940,,4.01,3.96,,0,0
"Double Bastard Ale (2011)","Arrogant Consortia","Strong Ale - American",10.5,100,,,,,,,,,"2011-05-25 18:11:50",https://untappd.com/c/956877,https://untappd.com/beer/484,https://untappd.com/brewery/234399,"United States",Escondido,CA,,,,956877,484,234399,,4.1,4.08,,0,0
"Weihenstephaner Vitus","Bayerische Staatsbrauerei Weihenstephan","Bock - Weizenbock",7.7,17,,,,,,,,5,"2011-05-29 20:43:44",https://untappd.com/c/997386,https://untappd.com/beer/7408,https://untappd.com/brewery/88,Germany,Freising,Bayern,,,,997386,7408,88,,3.86,3.86,,0,0
"Double Bastard Ale (2011)","Arrogant Consortia","Strong Ale - American",10.5,100,,,,,,,,,"2011-05-30 16:56:53",https://untappd.com/c/1003776,https://untappd.com/beer/484,https://untappd.com/brewery/234399,"United States",Escondido,CA,,,,1003776,484,234399,,4.1,4.08,,0,0
"It's Alive!",Mikkeller,"Belgian Strong Golden Ale",8,0,,,,,,,,4,"2011-05-30 18:32:02",https://untappd.com/c/1005059,https://untappd.com/beer/14140,https://untappd.com/brewery/2813,Denmark,Copenhagen,"Region Hovedstaden",,,,1005059,14140,2813,,3.63,3.63,,0,0
Walloon,"Southern Star Brewing Company","Farmhouse Ale - Saison",5,24,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,4,"2011-06-01 19:00:22",https://untappd.com/c/1016145,https://untappd.com/beer/46245,https://untappd.com/brewery/1172,"United States",Conroe,TX,,,,1016145,46245,1172,,3.43,3.45,,0,0
"Silva Stout","Green Flash Brewing Company","Stout - Imperial / Double",10.1,45,,"Meddlesome Moth",Dallas,TX,"United States",32.797,-96.8202,5,"2011-06-01 19:31:07",https://untappd.com/c/1016582,https://untappd.com/beer/6846,https://untappd.com/brewery/609,"United States","San Diego",CA,,,,1016582,6846,609,,4.04,4.03,,0,0
